x	y
6.131741e-01	4.425376e-01
6.206465e-01	4.360014e-01
6.282100e-01	4.295141e-01
6.358657e-01	4.230760e-01
6.436146e-01	4.166872e-01
6.514580e-01	4.103481e-01
6.593970e-01	4.040588e-01
6.674328e-01	3.978196e-01
6.755664e-01	3.916306e-01
6.837992e-01	3.854920e-01
6.921323e-01	3.794040e-01
7.005670e-01	3.733669e-01
7.091044e-01	3.673808e-01
7.177459e-01	3.614459e-01
7.264927e-01	3.555624e-01
7.353461e-01	3.497304e-01
7.443074e-01	3.439501e-01
7.533779e-01	3.382217e-01
7.625589e-01	3.325454e-01
7.718518e-01	3.269212e-01
7.812579e-01	3.213494e-01
7.907787e-01	3.158300e-01
8.004155e-01	3.103633e-01
8.101698e-01	3.049493e-01
8.200429e-01	2.995882e-01
8.300364e-01	2.942801e-01
8.401516e-01	2.890250e-01
8.503901e-01	2.838232e-01
8.607533e-01	2.786747e-01
8.712429e-01	2.735796e-01
8.818603e-01	2.685380e-01
8.926070e-01	2.635499e-01
9.034848e-01	2.586155e-01
9.144951e-01	2.537348e-01
9.256396e-01	2.489078e-01
9.369199e-01	2.441347e-01
9.483376e-01	2.394154e-01
9.598945e-01	2.347501e-01
9.715923e-01	2.301386e-01
9.834325e-01	2.255811e-01
9.954171e-01	2.210776e-01
1.007548e+00	2.166281e-01
1.019826e+00	2.122325e-01
1.032254e+00	2.078909e-01
1.044834e+00	2.036033e-01
1.057567e+00	1.993695e-01
1.070455e+00	1.951897e-01
1.083500e+00	1.910637e-01
1.096704e+00	1.869915e-01
1.110069e+00	1.829730e-01
1.123597e+00	1.790082e-01
1.137289e+00	1.750970e-01
1.151149e+00	1.712394e-01
1.165177e+00	1.674351e-01
1.179377e+00	1.636841e-01
1.193749e+00	1.599864e-01
1.208297e+00	1.563417e-01
1.223022e+00	1.527500e-01
1.237926e+00	1.492111e-01
1.253012e+00	1.457249e-01
1.268282e+00	1.422912e-01
1.283738e+00	1.389098e-01
1.299382e+00	1.355806e-01
1.315217e+00	1.323034e-01
1.331245e+00	1.290780e-01
1.347468e+00	1.259042e-01
1.363889e+00	1.227817e-01
1.380510e+00	1.197104e-01
1.397333e+00	1.166901e-01
1.414362e+00	1.137204e-01
1.431598e+00	1.108012e-01
1.449044e+00	1.079322e-01
1.466703e+00	1.051131e-01
1.484577e+00	1.023436e-01
1.502669e+00	9.962349e-02
1.520981e+00	9.695244e-02
1.539516e+00	9.433014e-02
1.558278e+00	9.175630e-02
1.577268e+00	8.923058e-02
1.596489e+00	8.675265e-02
1.615944e+00	8.432219e-02
1.635637e+00	8.193883e-02
1.655570e+00	7.960223e-02
1.675745e+00	7.731201e-02
1.696167e+00	7.506782e-02
1.716837e+00	7.286926e-02
1.737759e+00	7.071595e-02
1.758937e+00	6.860749e-02
1.780372e+00	6.654348e-02
1.802068e+00	6.452350e-02
1.824029e+00	6.254714e-02
1.846258e+00	6.061396e-02
1.868757e+00	5.872354e-02
1.891531e+00	5.687543e-02
1.914582e+00	5.506917e-02
1.937914e+00	5.330433e-02
1.961530e+00	5.158043e-02
1.985434e+00	4.989700e-02
2.009630e+00	4.825358e-02
2.034120e+00	4.664967e-02
2.058909e+00	4.508481e-02
2.084000e+00	4.355848e-02
2.109396e+00	4.207021e-02
2.135102e+00	4.061947e-02
2.161122e+00	3.920578e-02
2.187458e+00	3.782861e-02
2.214116e+00	3.648745e-02
2.241098e+00	3.518178e-02
2.268409e+00	3.391108e-02
2.296053e+00	3.267481e-02
2.324034e+00	3.147246e-02
2.352355e+00	3.030348e-02
2.381022e+00	2.916733e-02
2.410039e+00	2.806349e-02
2.439409e+00	2.699140e-02
2.469136e+00	2.595053e-02
2.499227e+00	2.494033e-02
2.529683e+00	2.396025e-02
2.560511e+00	2.300974e-02
2.591715e+00	2.208826e-02
2.623299e+00	2.119526e-02
2.655268e+00	2.033019e-02
2.687626e+00	1.949250e-02
2.720379e+00	1.868164e-02
2.753530e+00	1.789706e-02
2.787086e+00	1.713822e-02
2.821051e+00	1.640457e-02
2.855430e+00	1.569557e-02
2.890227e+00	1.501066e-02
2.925449e+00	1.434932e-02
2.961100e+00	1.371101e-02
2.997185e+00	1.309518e-02
3.033711e+00	1.250131e-02
3.070681e+00	1.192886e-02
3.108102e+00	1.137731e-02
3.145978e+00	1.084615e-02
3.184317e+00	1.033484e-02
3.223123e+00	9.842876e-03
3.262401e+00	9.369749e-03
3.302158e+00	8.914954e-03
3.342400e+00	8.477991e-03
3.383132e+00	8.058365e-03
3.424361e+00	7.655587e-03
3.466091e+00	7.269173e-03
3.508331e+00	6.898646e-03
3.551085e+00	6.543535e-03
3.594360e+00	6.203374e-03
3.638163e+00	5.877704e-03
3.682499e+00	5.566075e-03
3.727376e+00	5.268039e-03
3.772800e+00	4.983161e-03
3.818777e+00	4.711007e-03
3.865314e+00	4.451155e-03
